date,year,eyci,adjeyci
05/08/1996,1996.680365,187.25,237.01
06/08/1996,1996.683105,181.75,230.05
07/08/1996,1996.685845,183.00,231.63
08/08/1996,1996.688584,182.50,231.00
09/08/1996,1996.691324,182.50,231.00
12/08/1996,1996.699543,182.25,230.68
13/08/1996,1996.702283,183.50,232.26
14/08/1996,1996.705023,183.00,231.63
15/08/1996,1996.707763,182.75,231.31
16/08/1996,1996.710502,181.00,229.10
19/08/1996,1996.718721,179.50,227.20
20/08/1996,1996.721461,180.25,228.15
21/08/1996,1996.724201,179.75,227.52
22/08/1996,1996.726941,179.75,227.52
23/08/1996,1996.72968,180.50,228.46
26/08/1996,1996.7379,181.25,229.41
27/08/1996,1996.740639,180.50,228.46
28/08/1996,1996.743379,180.00,227.83
29/08/1996,1996.746119,179.25,226.88
30/08/1996,1996.748858,180.50,228.46
02/09/1996,1996.755479,178.25,225.62
03/09/1996,1996.758219,178.00,225.30
04/09/1996,1996.760959,179.00,226.57
05/09/1996,1996.763699,178.50,225.93
06/09/1996,1996.766438,178.75,226.25
09/09/1996,1996.774658,179.75,227.52
10/09/1996,1996.777397,180.25,228.15
11/09/1996,1996.780137,180.25,228.15
12/09/1996,1996.782877,180.75,228.78
13/09/1996,1996.785616,180.50,228.46
16/09/1996,1996.793836,181.50,229.73
17/09/1996,1996.796575,181.25,229.41
18/09/1996,1996.799315,181.00,229.10
19/09/1996,1996.802055,180.50,228.46
20/09/1996,1996.804795,180.00,227.83
23/09/1996,1996.813014,179.00,226.57
24/09/1996,1996.815753,178.00,225.30
25/09/1996,1996.818493,177.75,224.98
26/09/1996,1996.821233,177.25,224.35
27/09/1996,1996.823973,178.00,225.30
30/09/1996,1996.832192,177.75,224.98
01/10/1996,1996.836073,178.75,226.25
02/10/1996,1996.838813,179.25,226.88
03/10/1996,1996.841553,180.25,228.15
04/10/1996,1996.844292,182.25,230.68
08/10/1996,1996.855251,184.25,233.21
09/10/1996,1996.857991,184.00,232.89
10/10/1996,1996.860731,183.25,231.95
11/10/1996,1996.86347,181.50,229.73
14/10/1996,1996.871689,181.50,229.73
15/10/1996,1996.874429,179.50,227.20
16/10/1996,1996.877169,179.25,226.88
17/10/1996,1996.879909,179.50,227.20
18/10/1996,1996.882648,178.25,225.62
21/10/1996,1996.890868,177.50,224.67
22/10/1996,1996.893607,177.75,224.98
23/10/1996,1996.896347,177.75,224.98
24/10/1996,1996.899087,177.75,224.98
25/10/1996,1996.901826,177.25,224.35
28/10/1996,1996.910046,176.00,222.77
29/10/1996,1996.912785,176.00,222.77
30/10/1996,1996.915525,175.75,222.45
31/10/1996,1996.918265,175.00,221.50
01/11/1996,1996.919406,174.50,220.87
04/11/1996,1996.927626,173.50,219.60
05/11/1996,1996.930365,172.00,217.71
06/11/1996,1996.933105,171.25,216.76
07/11/1996,1996.935845,171.00,216.44
08/11/1996,1996.938584,170.50,215.81
11/11/1996,1996.946804,168.25,212.96
12/11/1996,1996.949543,168.75,213.59
13/11/1996,1996.952283,168.50,213.28
14/11/1996,1996.955023,168.75,213.59
15/11/1996,1996.957763,168.50,213.28
18/11/1996,1996.965982,170.75,216.12
19/11/1996,1996.968721,170.25,215.49
20/11/1996,1996.971461,171.00,216.44
21/11/1996,1996.974201,170.25,215.49
22/11/1996,1996.976941,169.75,214.86
25/11/1996,1996.98516,168.50,213.28
26/11/1996,1996.9879,166.25,210.43
27/11/1996,1996.990639,166.25,210.43
28/11/1996,1996.993379,166.25,210.43
29/11/1996,1996.996119,166.00,210.11
02/12/1996,1997.005479,164.50,208.21
03/12/1996,1997.008219,163.00,206.31
04/12/1996,1997.010959,162.25,205.36
05/12/1996,1997.013699,161.00,203.78
06/12/1996,1997.016438,160.50,203.15
09/12/1996,1997.024658,158.75,200.93
10/12/1996,1997.027397,159.50,201.88
